,ALL,WMO ID,NAME,LON,NOMINAL SAMPLING INTERVAL,ELEVATION,STATE,LAT,N HOURS OFFSET FROM GMT,ID,NYEARS,START,END,nyearsg,mev_10,gev_10,mev_20,gev_20,mev_50,gev_50,mev_100,gev_100
15,USC00013043  34.4406  -85.7236  279.5 AL FORT PAYNE                                                                                15    -6,     ,FORT PAYNE                                                                       ,-85.7236,15,279.5,AL,34.4406,-6,USC00013043,69.0,1948.0,2017.0,37,124.5064029687698,125.92366208395325,146.16828669783322,151.2229915488399,176.0948721651074,190.17046851012427,199.89550110303574,224.75737798269915
16,USC00013519  31.7901  -86.6087  104.2 AL GREENVILLE                                                                                15    -6,     ,GREENVILLE                                                                       ,-86.6087,15,104.2,AL,31.7901,-6,USC00013519,47.0,1971.0,2017.0,27,144.99497818548576,135.77930340769325,171.3682828121227,160.6211628217679,210.24236996884804,199.25260367572733,243.1904766651686,233.89706527148792
17,USC00013620  34.2314  -87.6352  280.4 AL HALEYVILLE                                                                                15    -6,     ,HALEYVILLE                                                                       ,-87.6352,15,280.4,AL,34.2314,-6,USC00013620,70.0,1948.0,2017.0,35,145.13477647573237,134.0927529906051,167.9379820508649,147.0066638934813,199.08086905055737,162.10502003140243,223.67084676746336,172.33328814994906
18,USC00013645  34.0966  -87.9913  132.6 AL HAMILTON 3 S                                                                              15    -6,     ,HAMILTON 3 S                                                                     ,-87.9913,15,132.6,AL,34.0966,-6,USC00013645,51.0,1967.0,2017.0,18,141.14447923979563,140.20037586165438,163.9022080704163,152.86711997173344,194.9429040969784,166.93740180271118,219.48103037899452,175.99428911844342
19,USC00014193  31.5253  -87.9277   67.1 AL JACKSON                                                                                   15    -6,     ,JACKSON                                                                          ,-87.9277,15,67.1,AL,31.5253,-6,USC00014193,55.0,1961.0,2017.0,21,147.34042682972444,111.11279936033579,169.7405712215819,115.65032368663374,200.04616571016388,119.83371190606078,223.77466131969115,122.06493040195039
20,USC00014209  33.8256  -85.7812  185.3 AL JACKSONVILLE                                                                              15    -6,     ,JACKSONVILLE                                                                     ,-85.7812,15,185.3,AL,33.8256,-6,USC00014209,67.0,1948.0,2017.0,42,126.20835010406996,129.46134190418508,147.1119414787522,152.45288516107263,175.98216909653834,185.7294124478286,198.95259518598283,213.5557699154508
21,USC00015397  32.0596  -85.4951  151.8 AL MIDWAY                                                                                    15    -6,     ,MIDWAY                                                                           ,-85.4951,15,151.8,AL,32.0596,-6,USC00015397,70.0,1948.0,2017.0,34,120.30825107610352,117.6313805159887,139.18980365769963,138.8507241880623,165.18145624729306,171.0123222230779,185.9025814438542,199.14377800760906
22,USC00015553  32.2600  -86.2180   68.6 AL MONTGOMERY 6SW                                                                            15    -6,     ,MONTGOMERY 6SW                                                                   ,-86.218,15,68.6,AL,32.26,-6,USC00015553,20.0,1998.0,2017.0,10,130.70545673359186,124.42945257911637,154.70182701356026,131.8959323634869,189.95322315663972,138.90798389131047,219.6701154685877,142.71875733986795
23,USC00018178  31.9172  -87.7347  118.9 AL THOMASVILLE                                                                               15    -6,     ,THOMASVILLE                                                                      ,-87.7347,15,118.9,AL,31.9172,-6,USC00018178,48.0,1967.0,2014.0,33,147.2484166098607,141.32152599344514,171.53999294897167,162.5242173574603,205.30899592654367,191.17972524992248,232.41419845122647,213.58583316375652
24,USC00018209  32.9205  -86.6708  207.3 AL THORSBY EXP STATION                                                                       15    -6,     ,THORSBY EXP STATION                                                              ,-86.6708,15,207.3,AL,32.9205,-6,USC00018209,48.0,1970.0,2017.0,23,131.77325068120533,114.78407329143238,152.04382270402346,134.92064226801884,179.76298695592186,166.44340690626754,201.67403118259807,194.89550875691202
26,USC00018385  33.2097  -87.5936   46.3 AL TUSCALOOSA OLIVER DAM                                                                     15    -6,     ,TUSCALOOSA OLIVER DAM                                                            ,-87.5936,15,46.3,AL,33.2097,-6,USC00018385,53.0,1958.0,2017.0,23,129.3963517231311,107.71835073275759,152.45003258426357,122.28937487780496,184.1923785351612,141.94077413885393,209.31355188246368,157.2747028602958
27,USC00018517  33.7392  -88.1275   90.8 AL VERNON                                                                                    15    -6,     ,VERNON                                                                           ,-88.1275,15,90.8,AL,33.7392,-6,USC00018517,70.0,1948.0,2017.0,32,125.86214665451736,113.47602207073191,144.6517655313266,126.0601010147673,170.20432524245135,141.79732285827137,190.35097690442095,153.19536017903732
28,USC00018670  33.7924  -86.8258  158.5 AL WARRIOR                                                                                   15    -6,     ,WARRIOR                                                                          ,-86.8258,15,158.5,AL,33.7924,-6,USC00018670,45.0,1972.0,2017.0,19,131.2364813704131,114.24336585264335,151.92179000801676,129.55877216650543,180.49690187150983,150.2462323133537,203.34955724046145,166.41329218318128
29,USC00018673  32.7744  -87.8306   33.5 AL WARRIOR LOCK AND DAM                                                                      15    -6,     ,WARRIOR LOCK AND DAM                                                             ,-87.8306,15,33.5,AL,32.7744,-6,USC00018673,61.0,1957.0,2017.0,23,123.56202905197132,129.65004365159393,143.45079084422758,159.24234168539635,170.6980090852735,207.2588251988237,192.3056813817249,252.1298641931183
30,USC00020080  32.3698 -112.8599  533.7 AZ AJO                                                                                       15    -7,     ,AJO                                                                              ,-112.8599,15,533.7,AZ,32.3698,-7,USC00020080,68.0,1948.0,2017.0,43,53.200727711642315,50.188077065244215,66.80980356917843,62.38632881099718,88.25405448649067,82.4325839557648,107.37522449653123,101.39740359218354
31,USC00020487  35.1989 -112.4886 1546.9 AZ ASH FORK 3                                                                                15    -7,     ,ASH FORK 3                                                                       ,-112.4886,15,1546.9,AZ,35.1989,-7,USC00020487,69.0,1948.0,2017.0,46,47.552440166323635,47.62589086737924,57.11366184522715,52.634893164751205,70.88525186625925,58.41913101419796,82.2224124601631,62.28956932883483
32,USC00020808  33.4783 -109.7516 1848.6 AZ BLACK RIVER PUMPS                                                                         15    -7,     ,BLACK RIVER PUMPS                                                                ,-109.7516,15,1848.6,AZ,33.4783,-7,USC00020808,68.0,1948.0,2017.0,40,56.28895125221295,50.00247594541855,66.51580766144642,55.33571260575438,81.1146750826429,61.82120151204761,93.08494931445414,66.38994365497003
33,USC00021574  34.5400 -110.9152 2135.4 AZ CHEVELON RANGER STATION                                                                   15    -7,     ,CHEVELON RANGER STATION                                                          ,-110.9152,15,2135.4,AZ,34.54,-7,USC00021574,35.0,1982.0,2017.0,19,56.69433202833396,63.439667306100134,66.99122587278426,72.73639789645777,81.79837255147717,85.18150601372076,94.08542855341574,94.82149852195221
35,USC00021870  32.0588 -109.8908 1274.1 AZ COCHISE 4 SSE                                                                             15    -7,     ,COCHISE 4 SSE                                                                    ,-109.8908,15,1274.1,AZ,32.0588,-7,USC00021870,66.0,1948.0,2016.0,45,54.12179991053572,58.944590083854024,68.04747506508131,68.84406556633405,90.41861726994748,81.9229251555511,110.89560821087235,91.92351443208318
36,USC00022329  34.2097 -112.3453 1803.8 AZ CROWN KING                                                                                15    -7,     ,CROWN KING                                                                       ,-112.3453,15,1803.8,AZ,34.2097,-7,USC00022329,38.0,1980.0,2017.0,15,114.29672220502192,104.69513021074496,142.9092227644715,129.34826462842898,186.36749026685072,169.33995841119065,224.65573622487858,206.70240514382485
37,USC00022754  32.7480 -109.1213 1115.6 AZ DUNCAN                                                                                    15    -7,     ,DUNCAN                                                                           ,-109.1213,15,1115.6,AZ,32.748,-7,USC00022754,40.0,1975.0,2017.0,18,41.509464419448356,46.31224451345057,49.380840023937985,50.22529908637444,60.159105142977715,54.14443226034801,68.6618737164549,56.417772358314224
40,USC00024586  35.8109 -110.1932 1891.3 AZ KEAMS CANYON                                                                              15    -7,     ,KEAMS CANYON                                                                     ,-110.1932,15,1891.3,AZ,35.8109,-7,USC00024586,69.0,1948.0,2016.0,38,38.377617459873534,37.44166131985719,47.39147861083561,43.30090431370204,60.865024432816945,51.4655516811877,72.28578656936132,58.04413134021459
41,USC00025344  34.3709 -112.1827 1252.1 AZ MAYER NO. 2                                                                               15    -7,     ,MAYER NO. 2                                                                      ,-112.1827,15,1252.1,AZ,34.3709,-7,USC00025344,32.0,1986.0,2017.0,15,79.51810293543262,70.18054226840701,97.797252842757,81.34827370347611,124.42612832209925,96.59021306459542,146.68543019436905,108.62346061805111
42,USC00025635  34.6105 -111.8380  969.3 AZ MONTEZUMA CASTLE NM                                                                       15    -7,     ,MONTEZUMA CASTLE NM                                                              ,-111.838,15,969.3,AZ,34.6105,-7,USC00025635,39.0,1979.0,2017.0,22,50.92076890162288,51.31831609963083,59.090323016094914,56.895137574085425,70.67387474728912,64.05742329647572,80.3073704482612,69.38319254999121
43,USC00025924  31.4554 -110.9680 1054.9 AZ NOGALES 6 N                                                                               15    -7,     ,NOGALES 6 N                                                                      ,-110.968,15,1054.9,AZ,31.4554,-7,USC00025924,32.0,1983.0,2017.0,17,68.19426129614403,72.54035415042082,83.3690687868243,83.78133765482697,106.10500778191256,98.64645908328703,125.5724129474167,110.02337526654244
46,USC00026119  32.6025 -110.7344 1374.6 AZ ORACLE 2 SE                                                                               15    -7,     ,ORACLE 2 SE                                                                      ,-110.7344,15,1374.6,AZ,32.6025,-7,USC00026119,57.0,1950.0,2010.0,39,84.3750112969032,75.94372099470064,100.58220093439006,86.24659314821304,125.22460510871879,99.24650743923391,148.12809484596497,108.74550216133677
47,USC00026468  34.7994 -109.8850 1659.9 AZ PETRIFIED FOREST NP                                                                       15    -7,     ,PETRIFIED FOREST NP                                                              ,-109.885,15,1659.9,AZ,34.7994,-7,USC00026468,70.0,1948.0,2017.0,41,39.16028931531178,42.89781167730754,47.591233377537556,50.140255651541416,59.83586086912165,59.7047461621796,70.03616003358006,67.0151143674309
48,USC00027708  34.8955 -111.7644 1286.3 AZ SEDONA                                                                                    15    -7,     ,SEDONA                                                                           ,-111.7644,15,1286.3,AZ,34.8955,-7,USC00027708,38.0,1973.0,2010.0,18,61.44992423709078,54.19521313773606,72.07773445335225,60.456451934684246,87.44538708387275,69.03174742967063,100.31398939311165,75.82500594155329
49,USC00027876  33.7986 -110.9714 1554.5 AZ SIERRA ANCHA                                                                              15    -7,     ,SIERRA ANCHA                                                                     ,-110.9714,15,1554.5,AZ,33.7986,-7,USC00027876,42.0,1976.0,2017.0,23,105.53749883434593,92.00126989688764,128.19630605583288,107.68935297689177,162.53252853810727,130.07935492586168,192.2453334915147,148.54747320678587
50,USC00029158  34.9281 -112.8097 1551.4 AZ WALNUT CREEK                                                                              15    -7,     ,WALNUT CREEK                                                                     ,-112.8097,15,1551.4,AZ,34.9281,-7,USC00029158,39.0,1979.0,2017.0,15,69.33590448345697,63.319507999982214,83.79728457421378,71.9965276316523,105.24989811934806,83.42121924368655,123.73976966501878,92.12761292555018
51,USC00029271  33.8215 -109.9840 1575.8 AZ WHITERIVER 1 SW                                                                           15    -7,     ,WHITERIVER 1 SW                                                                  ,-109.984,15,1575.8,AZ,33.8215,-7,USC00029271,64.0,1948.0,2011.0,43,58.351625816347116,58.1630115963451,69.10792259557665,66.46962105250542,84.02602773166568,77.32819549928482,95.9981173998947,85.54468628355175
52,USC00030064  35.9307  -91.0550   78.6 AR ALICIA 2NNE                                                                               15    -6,     ,ALICIA 2NNE                                                                      ,-91.055,15,78.6,AR,35.9307,-6,USC00030064,70.0,1948.0,2017.0,40,154.88160795366886,121.16793833689422,185.990208162465,131.87009805891148,230.04946615541135,143.6328092485099,265.96824483865424,151.12444778444188
53,USC00030130  34.7961  -92.8417  212.8 AR ALUM FORK                                                                                 15    -6,     ,ALUM FORK                                                                        ,-92.8417,15,212.8,AR,34.7961,-6,USC00030130,70.0,1948.0,2017.0,48,148.93409176458863,133.2930268723179,174.44812246092417,152.7554853611496,210.1735595383968,180.3288420624769,239.0203313237256,202.90936958907048
54,USC00030178  34.0275  -93.4332   91.4 AR ANTOINE 1 SW                                                                              15    -6,     ,ANTOINE 1 SW                                                                     ,-93.4332,15,91.4,AR,34.0275,-6,USC00030178,68.0,1950.0,2017.0,32,147.92721843793333,135.27240961131642,174.43551657934435,154.4164352715187,211.54641882343208,180.23653127280082,241.50167672342488,200.38484212223315
55,USC00030220  34.1433  -93.0589   59.7 AR ARKADELPHIA 2 N                                                                           15    -6,     ,ARKADELPHIA 2 N                                                                  ,-93.0589,15,59.7,AR,34.1433,-6,USC00030220,68.0,1948.0,2017.0,52,150.06788196990757,142.50541766884348,176.1892543348106,161.17702803824338,213.14038523567382,184.78330228412224,243.52097995566012,202.0662843636509
56,USC00030326  35.2894  -91.3533   59.4 AR AUGUSTA                                                                                   15    -6,     ,AUGUSTA                                                                          ,-91.3533,15,59.4,AR,35.2894,-6,USC00030326,70.0,1948.0,2017.0,40,141.28385801611049,131.05917515153206,167.09281709528304,149.0915971424659,203.30994566101222,172.95545146942408,232.75474890569154,191.23284326810864
57,USC00030458  35.8306  -91.7944  174.0 AR BATESVILLE LVSTK                                                                          15    -6,     ,BATESVILLE LVSTK                                                                 ,-91.7944,15,174.0,AR,35.8306,-6,USC00030458,69.0,1949.0,2017.0,50,133.69625845433563,109.43401367798461,156.8330911596492,119.39822394663935,189.21244668717696,131.34682499843927,215.36454142102002,139.6479173554668
58,USC00030530  35.0644  -91.8961   76.2 AR BEEBE                                                                                     15    -6,     ,BEEBE                                                                            ,-91.8961,15,76.2,AR,35.0644,-6,USC00030530,70.0,1948.0,2017.0,42,129.5397277431496,114.28433859993062,150.35549249347045,126.68801001155255,179.11898409631306,142.39825671058304,202.10702280937946,153.92091272023941
59,USC00030616  36.4294  -93.6255  359.7 AR BERRYVILLE 5 NW                                                                           15    -6,     ,BERRYVILLE 5 NW                                                                  ,-93.6255,15,359.7,AR,36.4294,-6,USC00030616,67.0,1948.0,2014.0,49,115.79599849817643,106.64978834212576,135.48189858747432,121.43794185281483,163.5304660296721,141.26922292078376,186.85171330008862,156.65731510023463
60,USC00030764  34.5697  -93.1947  129.8 AR BLAKELY MOUNTAIN DAM                                                                      15    -6,     ,BLAKELY MOUNTAIN DAM                                                             ,-93.1947,15,129.8,AR,34.5697,-6,USC00030764,68.0,1950.0,2017.0,37,161.04864708298498,159.65643394932926,190.18104341052307,192.07140325557992,232.20042960055056,242.9901325683499,267.53840551325806,289.10236089051057
61,USC00030798  35.1161  -93.6506  129.8 AR BLUE MOUNTAIN DAM                                                                         15    -6,     ,BLUE MOUNTAIN DAM                                                                ,-93.6506,15,129.8,AR,35.1161,-6,USC00030798,70.0,1948.0,2017.0,56,126.58717524803254,109.32077755307122,147.30787612543546,126.42242841570163,175.86273721174922,151.81429568035838,198.70192136306838,173.58303289420326
62,USC00030832  35.0930  -93.9258  182.9 AR BOONEVILLE 3 SSE                                                                          15    -6,     ,BOONEVILLE 3 SSE                                                                 ,-93.9258,15,182.9,AR,35.093,-6,USC00030832,40.0,1978.0,2017.0,20,130.91817423574793,137.83509090840764,151.95108018327073,158.61238352994422,181.38190961917155,187.16277071469563,205.11661513584275,209.85353527916234
63,USC00030842  35.7200  -92.4708  394.7 AR BOTKINBURG 3 NE                                                                           15    -6,     ,BOTKINBURG 3 NE                                                                  ,-92.4708,15,394.7,AR,35.72,-6,USC00030842,69.0,1948.0,2017.0,47,143.72487409064408,125.49748583944313,168.86698398022781,145.603668379245,203.85041551151096,173.60901060066817,231.91667389889062,196.1646189909872
64,USC00030900  34.9458  -93.4637  140.2 AR BRIGGSVILLE                                                                               15    -6,     ,BRIGGSVILLE                                                                      ,-93.4637,15,140.2,AR,34.9458,-6,USC00030900,33.0,1985.0,2017.0,11,143.0867987724666,134.7629882507331,164.62135194038152,158.45623269528664,193.50570077114736,195.37773316199997,215.9238810496986,228.55525808287751
65,USC00030936  34.8822  -91.2152   56.4 AR BRINKLEY                                                                                  15    -6,     ,BRINKLEY                                                                         ,-91.2152,15,56.4,AR,34.8822,-6,USC00030936,70.0,1948.0,2017.0,45,131.78561053117122,117.86879684644674,153.23369329482418,132.929129521211,182.90338824493324,153.1245638781308,206.65380576147325,168.79457540647024
67,USC00031140  33.3063  -92.4832   23.5 AR CALION LOCK & DAM                                                                         15    -6,     ,CALION LOCK & DAM                                                                ,-92.4832,15,23.5,AR,33.3063,-6,USC00031140,33.0,1985.0,2017.0,13,147.6557846984274,130.70867391856245,170.5360975334163,149.2867974933357,201.2195709753319,175.59277317352297,225.01560695441705,197.1237889945365
68,USC00031152  33.5900  -92.8236   35.4 AR CAMDEN 1                                                                                  15    -6,     ,CAMDEN 1                                                                         ,-92.8236,15,35.4,AR,33.59,-6,USC00031152,50.0,1966.0,2017.0,23,134.8512450168161,130.2568905184113,158.07817416674757,150.42506457031223,189.49746325247787,178.50734327638804,214.13624084002828,201.11748855461428
69,USC00031457  35.5328  -93.4036  259.1 AR CLARKSVILLE 6 NE                                                                          15    -6,     ,CLARKSVILLE 6 NE                                                                 ,-93.4036,15,259.1,AR,35.5328,-6,USC00031457,57.0,1961.0,2017.0,35,136.05485775803206,115.25755444218679,159.88338055608142,132.1238988139153,193.01857333261788,155.65630454622723,219.60881516906073,174.64082690137326
70,USC00031582  36.0913  -93.3208  648.9 AR COMPTON                                                                                   15    -6,     ,COMPTON                                                                          ,-93.3208,15,648.9,AR,36.0913,-6,USC00031582,70.0,1948.0,2017.0,43,119.69177470493136,108.1465760897074,138.80837704047855,127.15585602500094,164.9913930584815,158.3818867439374,185.70859976438382,187.9112413485945
71,USC00031632  36.4197  -90.5858   91.4 AR CORNING                                                                                   15    -6,     ,CORNING                                                                          ,-90.5858,15,91.4,AR,36.4197,-6,USC00031632,69.0,1948.0,2017.0,30,145.98853758674557,129.95545268486666,174.02812425050732,150.53031552390965,213.53373853407606,178.64971522893325,245.66835541002655,200.87932839262936
73,USC00031952  34.1002  -94.3724  169.8 AR DE QUEEN DAM                                                                              15    -6,     ,DE QUEEN DAM                                                                     ,-94.3724,15,169.8,AR,34.1002,-6,USC00031952,36.0,1973.0,2008.0,20,141.15241606411718,134.85932626633564,165.91193755434261,155.06543637528728,201.7991606410973,183.23805595841526,231.72238278313978,205.95059311325636
75,USC00032356  36.4163  -93.7916  432.8 AR EUREKA SPRINGS 3 WNW                                                                      15    -6,     ,EUREKA SPRINGS 3 WNW                                                             ,-93.7916,15,432.8,AR,36.4163,-6,USC00032356,64.0,1949.0,2012.0,54,121.57978326329035,102.66738050739649,141.51932461432077,115.83476421770618,169.67458270028828,133.9194263494175,192.8895828437687,148.28553945468917
76,USC00032444  36.1006  -94.1744  387.1 AR FAYETTEVILLE EXP STA                                                                      15    -6,     ,FAYETTEVILLE EXP STA                                                             ,-94.1744,15,387.1,AR,36.1006,-6,USC00032444,52.0,1966.0,2017.0,32,126.47952331786078,114.44667309406518,151.0169407775895,129.309765903759,187.94745359834087,148.6267818994078,219.85716860462884,163.16027275582024
77,USC00032489  34.7594  -92.4553  150.0 AR FERNDALE 6 E                                                                              15    -6,     ,FERNDALE 6 E                                                                     ,-92.4553,15,150.0,AR,34.7594,-6,USC00032489,37.0,1981.0,2017.0,27,142.32922731852074,129.30987988904246,167.76513652471164,149.45035690082145,202.97848824574564,177.95392224127244,231.05078460490557,201.27189776338219
78,USC00032544  33.7222  -94.3975  128.9 AR FOREMAN                                                                                   15    -6,     ,FOREMAN                                                                          ,-94.3975,15,128.9,AR,33.7222,-6,USC00032544,69.0,1948.0,2017.0,32,152.93759063861864,132.10629170711155,177.6614638225951,146.33918952568854,211.7916720120695,163.69683060903304,239.0812186774822,175.95937528369922
79,USC00032794  35.9885  -92.7161  184.7 AR GILBERT                                                                                   15    -6,     ,GILBERT                                                                          ,-92.7161,15,184.7,AR,35.9885,-6,USC00032794,70.0,1948.0,2017.0,55,125.64385341594912,114.2765485294644,147.1056970356509,126.82744118785526,177.08184055504182,142.15261640647356,201.38674771472287,152.99250020333267
80,USC00032978  35.5206  -91.9997  160.6 AR GREERS FERRY DAM                                                                          15    -6,     ,GREERS FERRY DAM                                                                 ,-91.9997,15,160.6,AR,35.5206,-6,USC00032978,53.0,1965.0,2017.0,39,138.00150650687146,125.79570481654221,160.17991056891816,140.4934049966334,190.47294846522263,159.18451663442653,214.461942792099,172.94830046054395
81,USC00033132  36.2747  -91.5056  121.9 AR HARDY                                                                                     15    -6,     ,HARDY                                                                            ,-91.5056,15,121.9,AR,36.2747,-6,USC00033132,65.0,1948.0,2017.0,25,129.7933251143926,134.6833698525367,156.215810234954,169.654433608668,194.7932763925139,229.60207042819434,227.20865995463984,288.6711999422763
82,USC00033544  36.0700  -93.7522  543.5 AR HUNTSVILLE 1 SSW                                                                          15    -6,     ,HUNTSVILLE 1 SSW                                                                 ,-93.7522,15,543.5,AR,36.07,-6,USC00033544,30.0,1983.0,2012.0,15,127.56586756296993,104.61630014220754,147.80613097996417,118.70065585353242,175.34960725759203,138.53901993267596,197.0174125480097,154.69300627214955
83,USC00034185  33.3613  -93.5674  103.6 AR LEWISVILLE                                                                                15    -6,     ,LEWISVILLE                                                                       ,-93.5674,15,103.6,AR,33.3613,-6,USC00034185,27.0,1991.0,2017.0,17,147.5586060409124,152.02059119621353,180.53501384615805,185.33951857336564,234.92925600518103,234.7667215371625,283.25864568627895,277.1049453188702
84,USC00034548  33.2951  -93.2325   99.1 AR MAGNOLIA                                                                                  15    -6,     ,MAGNOLIA                                                                         ,-93.2325,15,99.1,AR,33.2951,-6,USC00034548,45.0,1948.0,2017.0,16,156.49067510637178,154.49432486525734,185.2112573969562,189.59990244650902,224.88311447510574,244.54660947079913,256.41334520427694,294.1327864287507
85,USC00034756  34.5979  -94.2900  351.1 AR MENA                                                                                      15    -6,     ,MENA                                                                             ,-94.29,15,351.1,AR,34.5979,-6,USC00034756,70.0,1948.0,2017.0,52,147.32754932861098,140.28228795508363,171.2056170518423,161.50419355196385,204.28028516066541,190.34400926047786,230.78772831625503,213.01658016288013
86,USC00034839  33.6772  -93.9902   96.3 AR MILLWOOD DAM                                                                              15    -6,     ,MILLWOOD DAM                                                                     ,-93.9902,15,96.3,AR,33.6772,-6,USC00034839,55.0,1963.0,2017.0,28,159.6269135262785,136.16350432836023,188.3351151274102,155.20571127476794,228.8539919266909,181.49730951831276,261.8625633038987,202.49116428338397
87,USC00035110  34.1452  -93.7138  132.6 AR NARROWS DAM                                                                               15    -6,     ,NARROWS DAM                                                                      ,-93.7138,15,132.6,AR,34.1452,-6,USC00035110,68.0,1950.0,2017.0,45,157.7277333886642,136.4402962814873,185.56587217595052,157.75504189217122,224.66378885815442,189.1372519504497,256.43390327909583,215.8217740764576
88,USC00035112  33.9294  -93.8583  121.9 AR NASHVILLE                                                                                 15    -6,     ,NASHVILLE                                                                        ,-93.8583,15,121.9,AR,33.9294,-6,USC00035112,51.0,1966.0,2017.0,39,150.35300225417163,149.53680860552896,174.13897376695536,178.61001538772905,206.4416075553053,223.01448601468803,231.84747718231344,262.14527525378685
